filename	acq_time	operator	randstr
anat/sub-21_T1w.nii.gz	2019-10-10T14:05:52.397500	FA	290c9f97
func/sub-21_task-localizer_run-001_bold.nii.gz	2020-08-07T12:29:05.617500	Neubert	b6dd9728
func/sub-21_task-main_run-001_bold.nii.gz	2020-08-07T12:37:46.562500	Neubert	01c213b3
func/sub-21_task-main_run-002_bold.nii.gz	2020-08-07T12:44:41.380000	Neubert	515ead0a
func/sub-21_task-main_run-003_bold.nii.gz	2020-08-07T12:53:16.395000	Neubert	56f6466b
func/sub-21_task-main_run-004_bold.nii.gz	2020-08-07T13:00:03.807500	Neubert	bf3f8c47
func/sub-21_task-main_run-005_bold.nii.gz	2020-08-07T13:07:31.752500	Neubert	2ea95dc5
func/sub-21_task-main_run-006_bold.nii.gz	2020-08-07T13:14:56.657500	Neubert	8705f566
func/sub-21_task-main_run-007_bold.nii.gz	2020-08-07T13:24:01.487500	Neubert	3df20a6b
func/sub-21_task-main_run-008_bold.nii.gz	2020-08-07T13:30:58.345000	Neubert	a5280393
func/sub-21_task-main_run-009_bold.nii.gz	2020-08-07T13:40:06.732500	Neubert	4c525434
func/sub-21_task-main_run-0010_bold.nii.gz	2020-08-07T13:46:57.645000	Neubert	c09c8f60
func/sub-21_task-main_run-0011_bold.nii.gz	2020-08-07T13:57:12.422500	Neubert	56e8126e
func/sub-21_task-main_run-0012_bold.nii.gz	2020-08-07T14:03:57.612500	Neubert	88a38da9
